ID	label	definition
ENVO:00000020	lake	A body of water or other liquid of considerable size contained in a depression on a landmass.
ENVO:00000022	river	A stream which, through permanent or seasonal flow processes, moves from elevated land towards lower elevations through a definite channel and empties either into a sea, lake, or another river or ends on land as bed seepage and evapotranspiration exceed water supply.
ENVO:00000023	stream	A watercourse which is linear and flows across the solid portion of a planetary surface.
ENVO:00000029	watercourse	A flowing body of water.
ENVO:00000063	water body	An accumulation of water of varying size.
ENVO:00000106	grassland area	An area in which grasses (Graminae) are a significant component of the vegetation.
ENVO:00000109	woodland area	Land having a cover of trees, shrubs, or both.
ENVO:00000111	forested area	An area with a high density of trees. A small forest may be called a wood.
ENVO:00000134	permafrost	Soil or rock and included ice or organic material at or below the freezing point of water (0 degrees Celsius or 32 degrees Fahrenheit) for two or more years.
ENVO:00000141	bank	The sloping margin of a watercourse, serving to confine it to its natural channel.
ENVO:00000142	stream bank	The sloping margin of a stream, serving to confine it to its natural channel.
ENVO:00000143	river bank	The sloping margin of a river, serving to confine it to its natural channel.
ENVO:00000191	solid astronomical body part	A part of an astronomical body which is primarily composed of a continuous volume of solid material, shaped by one or more environmental processes.
ENVO:00000247	volcano	An opening, or rupture, in the Earth's surface or crust, which allows hot, molten rock, ash and gases to escape from deep below the surface.
ENVO:00000309	depression	A landform sunken or depressed below the surrounding area.
ENVO:00000395	channel of a watercourse	The physical confine of a river, slough or ocean strait consisting of a bed and banks.
ENVO:00000428	biome	A biome is an ecosystem to which resident ecological communities have evolved adaptations.
ENVO:00000446	terrestrial biome	A biome which is  primarily or completely situated on a landmass.
ENVO:00000501	submerged bed	The portion of the ground surface which lies below water.
ENVO:00001995	rock	A rock is a naturally occurring solid aggregate of one or more minerals or mineraloids.
ENVO:00001998	soil	Soil is an environmental material which is primarily composed of minerals, varying proportions of sand, silt, and clay, organic material such as humus, gases, liquids, and a broad range of resident micro- and macroorganisms.
ENVO:00002000	slope	A solid astronomical body part which is part of the planetary surface between the peak of an elevation or the bottom of a depression and  relatively flat surrounding land.
ENVO:00002005	air	The mixture of gases (roughly (by molar content/volume: 78% nitrogen, 20.95% oxygen, 0.93% argon, 0.038% carbon dioxide, trace amounts of other gases, and a variable amount (average around 1%) of water vapor) that surrounds the planet Earth.
ENVO:00002006	liquid water	An environmental material primarily composed of dihydrogen oxide in its liquid form.
ENVO:00002116	contaminated soil	A portion of contaminated soil is a portion of soil with elevated levels of some contaminant.
ENVO:00002982	clay	A group of hydrous aluminium phyllosilicate (phyllosilicates being a subgroup of silicate minerals) minerals (see clay minerals), that are typically less than 2 micrometres in diameter. Clay consists of a variety of phyllosilicate minerals rich in silicon and aluminium oxides and hydroxides which include variable amounts of structural water.
ENVO:00003082	enriched soil	A portion of enriched soil is a portion of soil with elevated levels of some material entity.
ENVO:00010483	environmental material	A portion of environmental material is a fiat object part which forms the medium or part of the medium of an environmental system.
ENVO:00010504	surface layer	A layer of some material entity which is adjacent to one or more of its external boundaries and directly interacts with its immediate surroundings.
ENVO:00010505	aerosol	Airborne solid particles (also called dust or particulate matter (PM)) or liquid droplets.
ENVO:01000016	silt	Silt is granular material of a size somewhere between sand and clay whose mineral origin is quartz and feldspar.
ENVO:01000017	sand	A naturally occurring granular material composed of finely divided rock and mineral particles.
ENVO:01000155	organic material	Environmental material derived from living organisms and composed primarily of one or more biomacromolecules.
ENVO:01000219	anthropogenic terrestrial biome	An anthropogenic terrestrial biome is a terrestrial biome which has community structures determined by human activity.
ENVO:01000231	lava	Lava is a mixture of molten or semi-molten rock, volatiles, and solids which has extruded beyond a planetary crust.
ENVO:01000248	dense settlement biome	A dense settlement biome is an anthropogenic terrestrial biome which is primarily used for human habitation, recreation, and industry within built structures with little other land use.
ENVO:01000249	urban biome	An urban biome is a dense settlement biome which has been urbanised.
ENVO:01000254	environmental system	A system which has the disposition to environ one or more material entities.
ENVO:01000256	mineral material	A mineral material is an environmental material which is primarily composed of some substance that is naturally occurring, solid and stable at room temperature, representable by a chemical formula, usually abiogenic, and that has an ordered atomic structure.
ENVO:01000266	water vapour	Water vapour is a vapour which is the gas phase of water.
ENVO:01000267	atmosphere	An atmosphere is a layer of gases surrounding a material body of sufficient mass that is held in place by the gravity of the body.
ENVO:01000277	water ice	Ice is water frozen into a solid state. It can appear transparent or opaque bluish-white color, depending on the presence of impurities or air inclusions. The addition of other materials such as soil may further alter its appearance.
ENVO:01000281	layer	A layer is a quantity of some material which is spatially continuous, has comparable thickness, and usually covers some surface.
ENVO:01000324	planetary surface	A planetary surface is a surface layer where the solid or liquid material of a planet comes into contact with an atmosphere or outer space.
ENVO:01000355	vegetation layer	A layer which is determined by a form of vegetation.
ENVO:01000406	snow	Snow is an environmental material which is primarily composed of flakes of crystalline water ice.
ENVO:01000408	environmental zone	A site which has its extent determined by the presence or influence of one or more components of an environmental system or the processes occurring therein.
ENVO:01000438	lava flow	A lava flow is a moving outpouring of lava, which is created during a non-explosive effusive eruption.
ENVO:01000618	lotic water body	A lotic water body is a water body in which the accumulated water, in its totality, is flowing.
ENVO:01000634	volcanic eruption	A volcanic eruption is a process during which lava, tephra (ash, lapilli, volcanic bombs and blocks), and assorted gases are expelled from a volcanic vent or fissure.
ENVO:01000635	planetary landmass	A landmass which is part of a planet.
ENVO:01000637	outer space	Outer space is a hard vacuum containing a low density of particles, predominantly a plasma of hydrogen and helium as well as electromagnetic radiation, magnetic fields, neutrinos, dust and cosmic rays that exists between celestial bodies.
ENVO:01000638	planetary crust	A planetary crust is the outermost solid shell of a rocky planet or natural satellite, which is chemically distinct from the underlying mantle.
ENVO:01000639	planetary structural layer	A planetary structural layer is laminar part of a terrestrial planet or other rocky body large enough to have differentiation by density. Planetary layers have differing physicochemical properties and composition.
ENVO:01000646	lithosphere	A lithosphere is the outermost shell of a terrestrial-type planet or natural satellite that is defined by its rigid mechanical properties.
ENVO:01000648	magma	Magma is a mixture of molten or semi-molten rock, volatiles, and solids that is found beneath the uppermost solid layer of a planetary body. Besides molten rock, magma may also contain suspended crystals, dissolved gas and sometimes gas bubbles.
ENVO:01000650	stream channel	
ENVO:01000652	river channel	
ENVO:01000655	explosive eruption	An explosive eruption is a volcanic process in which pressurised magma is violently expelled and froths into volcanic ash. Explosive eruptions can eject a cloud of rocks, dust, gas, and pyroclastic material  which may then collapse, creating a pyroclastic flow of hot volcanic matter.
ENVO:01000656	effusive eruption	An effusive eruption is a volcanic eruption during which lava flows onto the ground.
ENVO:01000660	tephra	Tephra is fragmental material produced by a volcanic eruption regardless of composition, fragment size or emplacement mechanism.
ENVO:01000667	geological fracture	A geological fracture is any separation in a geologic formation, such as a joint or a fault that divides a mass of rock into two or more pieces.
ENVO:01000668	geological fault	A geological fault is a planar fracture or discontinuity in a volume of rock, across which there has been significant displacement as a result of rock mass movement.
ENVO:01000669	active geological fault	An active fault is a fault that is likely to become the source of another earthquake sometime in the future. Geologists commonly consider faults to be active if there has been movement observed or evidence of seismic activity during the last 10,000 years.
ENVO:01000677	earthquake	An earthquake is a process during which energy is released in an astronomical body's crust, causing the displacement of crustal parts and the generation of seismic waves.
ENVO:01000678	tectonic earthquake	An earthquake caused by the sudden release of energy accumulated in an astronomical body's crust, as the elastic strain placed on constituent rock masses causes them to fracture.
ENVO:01000679	megathrust earthquake	A megathrust earthquake is a tectonic earthquake which occurs at subduction zones at destructive plate boundaries (convergent boundaries). These interplate earthquakes are the planet's most powerful, with moment magnitudes that can exceed 9.0.
ENVO:01000680	polluted lake	A lake which has concentrations of environmental contaminants high enough to harm the ecosystems associated with it.
ENVO:01000685	water mass	A mass of water.
ENVO:01000687	coast	A coast is the area where land meets the sea, ocean, or lake.
ENVO:01000689	tsunami	A tsunami is a process during which a series of waves is generated in a water body, typically an ocean or large lake, by the displacement of a large volume of water. Earthquakes, volcanic eruptions and other underwater explosions (including detonations of underwater nuclear devices), landslides, glacier calvings, meteorite impacts and other disturbances above or below water all have the potential to generate a tsunami.
ENVO:01000690	mass wasting	Mass wasting is the geomorphic process by which solid environmental material such as soil, sand, regolith, and/or rock move downslope typically as a mass, largely under the force of gravity, but frequently affected by water and water content as in submarine environments and mudslides.
ENVO:01000691	avalanche	A mass wasting flow during which snow rapidly flows down a sloping surface.
ENVO:01000692	landslide process	A landslide is a process whereby a large mass of earth and rocks moves down a hill or a mountainside.
ENVO:01000693	rockfall	
ENVO:01000694	geological subsidence	A material transport process during which a geological surface shifts downward relative to a datum such as sea-level.
ENVO:01000695	mudslide	
ENVO:01000696	mass wasting flow	A mass wasting flow is a form of mass wasting during which the moving materials behave similarly to a flowing fluid. Water, air and ice are often involved in enabling fluidlike motion of the material.
ENVO:01000697	mudflow	A mudflow is a form of mass wasting which involves very rapid to extremely rapid surging flow of debris that has become partially or fully liquified by the addition of significant amounts of water to clay-rich source material.
ENVO:01000698	debris flow	
ENVO:01000699	lahar	A lahar is a type of mudflow or debris flow composed of a slurry of pyroclastic material, rocky debris, and water. The material flows down from a volcano, typically along a river valley.
ENVO:01000701	volcanic ash	Volcanic ash is an environmental material which consists of fragments of pulverized rock, minerals, and volcanic glass, created during volcanic eruptions and measuring less than 2 millimetres in diameter. Volcanic ash is formed during explosive volcanic eruptions, phreatomagmatic eruptions and during transport in pyroclastic density currents.
ENVO:01000702	ash fall process	An ash fall process is a process in which volcanic ash formed during an explosive volcanic eruption, phreatomagmatic eruption, or during material transport in pyroclastic density currents is pulled towards the planetary surface by gravity.
ENVO:01000703	hydrological precipitation process	Hydrological precipitation is a process during which any product of the condensation of atmospheric water vapour is pulled to the planetary surface by gravity.
